Date,Scale
1-1,0.8767855873240618
1-2,0.8727445400631475
1-3,0.8688308120604202
1-4,0.8650662622248764
1-5,0.8614763945139009
1-6,0.8580909844995627
1-7,0.8549446998266962
1-8,0.852077630856372
1-9,0.8495355917780999
1-10,0.8473699824102833
1-11,0.8456369320711251
1-12,0.8443954159844788
1-13,0.8437041031576038
1-14,0.8436169308161577
1-15,0.844177824289181
1-16,0.8454154861730996
1-17,0.847339506081116
1-18,0.8499389064008568
1-19,0.8531835744471649
1-20,0.8570281299764191
1-21,0.8614171119660011
1-22,0.8662902326243753
1-23,0.8715867739897587
1-24,0.8772487072934902
1-25,0.8832225389159565
1-26,0.8894601227137066
1-27,0.8959187467253514
1-28,0.9025607710547684
1-29,0.90935302455735
1-30,0.916266097525991
1-31,0.9232736112036627
2-1,0.9303515054928002
2-2,0.9374773612747083
2-3,0.9446297596973853
2-4,0.9517876746606753
2-5,0.9589298947486156
2-6,0.9660344765105926
2-7,0.9730782428296986
2-8,0.9800363593325123
2-9,0.9868820492423537
2-10,0.9935865412438678
2-11,1.0001193784571545
2-12,1.006449232044701
2-13,1.0125453310844303
2-14,1.0183795087053369
2-15,1.0239286636171712
2-16,1.029177196688024
2-17,1.034118826977131
2-18,1.038757256431754
2-19,1.0431054685688121
2-20,1.0471838748268876
2-21,1.0510178383452775
2-22,1.0546351696446061
2-23,1.0580640333056932
2-24,1.061331465079678
2-25,1.0644624977460517
2-26,1.0674797820675244
2-27,1.070403556871102
2-28,1.073251837156589
2-29,1.0760407219551977
3-1,1.078784756923115
3-2,1.0814973129601517
3-3,1.084190959938471
3-4,1.086877824755828
3-5,1.0895699266758867
3-6,1.0922794811780703
3-7,1.0950191566895309
3-8,1.0978022568770014
3-9,1.1006427857710044
3-10,1.103555337557089
3-11,1.1065547456579203
3-12,1.1096554403799705
3-13,1.112870515995788
3-14,1.1162106010983415
3-15,1.1196827369422029
3-16,1.123289540326252
3-17,1.1270288974042657
3-18,1.130894288136457
3-19,1.1348756423850452
3-20,1.1389604820142063
3-21,1.1431350732476988
3-22,1.147385385469017
3-23,1.151697763647482
3-24,1.156059314682829
3-25,1.1604580597123617
3-26,1.1648829192134391
3-27,1.1693235905955575
3-28,1.173770362451668
3-29,1.178213893824478
3-30,1.1826449741441345
3-31,1.1870542706007738
4-1,1.1914320642150398
4-2,1.1957679731767743
4-3,1.2000506618269082
4-4,1.2042675361181714
4-5,1.2084044322062701
4-6,1.2124453152098011
4-7,1.2163720216179255
4-8,1.2201641023163365
4-9,1.22379885255035
4-10,1.2272516439654562
4-11,1.2304966868657918
4-12,1.2335083223974244
4-13,1.2362628460468552
4-14,1.2387406873212399
4-15,1.2409285601285651
4-16,1.242821061936175
4-17,1.2444212563659138
4-18,1.2457400508923713
4-19,1.2467945567720915
4-20,1.247605895289379
4-21,1.2481969708814415
4-22,1.2485905951068355
4-23,1.2488081348527276
4-24,1.2488686813649719
4-25,1.2487886380081297
4-26,1.2485815957934783
4-27,1.2482583782083463
4-28,1.2478271651497703
4-29,1.2472936345684427
4-30,1.246661083491669
5-1,1.2459305064287
5-2,1.245100620130807
5-3,1.2441678313824365
5-4,1.2431261511440748
5-5,1.241967066145469
5-6,1.2406793901568178
5-7,1.2392491337651657
5-8,1.2376594549289899
5-9,1.2358907818665381
5-10,1.2339212285735666
5-11,1.2317274359715755
5-12,1.2292859423485791
5-13,1.2265750864612084
5-14,1.2235772669560259
5-15,1.2202811677431962
5-16,1.2166834201071048
5-17,1.2127892297218303
5-18,1.2086117782071715
5-19,1.2041705904378808
5-20,1.1994893403217741
5-21,1.1945936252174474
5-22,1.1895091004245617
5-23,1.1842601513081723
5-24,1.1788691011072019
5-25,1.1733558524329557
5-26,1.1677378314234157
5-27,1.1620301165673497
5-28,1.1562456633202172
5-29,1.1503955652663533
5-30,1.144489316273848
5-31,1.1385350546721513
6-1,1.132539781055557
6-2,1.126509547534717
6-3,1.1204496196061557
6-4,1.1143646133903191
6-5,1.1082586115451598
6-6,1.1021352611617479
6-7,1.095997856669275
6-8,1.0898494103778422
6-9,1.083692712858465
6-10,1.0775303849590023
6-11,1.0713649229359055
6-12,1.0651987380085937
6-13,1.0590341916795152
6-14,1.0528736284247886
6-15,1.0467194077457758
6-16,1.0405739378382657
6-17,1.0344397130164118
6-18,1.0283193564624955
6-19,1.0222156691356865
6-20,1.0161316852070734
6-21,1.010070734472803
6-22,1.0040365127790447
6-23,0.998033162315195
6-24,0.9920653644645361
6-25,0.9861384486532977
6-26,0.9802585213303503
6-27,0.9744326198928945
6-28,0.968668897067814
6-29,0.9629768419110766
6-30,0.9573675440388079
7-1,0.9518540076338153
7-2,0.9464515206136412
7-3,0.9411780811547286
7-4,0.9360548770455843
7-5,0.9311068008724039
7-6,0.9263629628489387
7-7,0.9218571298675655
7-8,0.9176279718693696
7-9,0.9137189372455012
7-10,0.9101775206402349
7-11,0.9070536603481583
7-12,0.9043970606254976
7-13,0.9022534345933662
7-14,0.900660022950194
7-15,0.8996411720652908
7-16,0.8992050328416934
7-17,0.8993423264908197
7-18,0.9000275592451097
7-19,0.9012223033973725
7-20,0.9028795979148807
7-21,0.9049484065807809
7-22,0.9073773493545305
7-23,0.9101173508903693
7-24,0.9131232095511606
7-25,0.9163542904340995
7-26,0.9197746038331106
7-27,0.9233525041243488
7-28,0.9270601854227589
7-29,0.9308730906554951
7-30,0.934769302919344
7-31,0.9387289545460569
8-1,0.9427336681273315
8-2,0.946766031768841
8-3,0.9508091054753344
8-4,0.9548459552324062
8-5,0.9588592154875702
8-6,0.9628306896576109
8-7,0.9667410128390099
8-8,0.9705694216811809
8-9,0.9742937022368815
8-10,0.9778904119735228
8-11,0.9813354838302286
8-12,0.9846052962021539
8-13,0.98767820856025
8-14,0.9905364109196315
8-15,0.9931677547361113
8-16,0.9955671157079145
8-17,0.9977368878438343
8-18,0.9996864466132519
8-19,1.0014307421173905
8-20,1.0029884216239293
8-21,1.0043799295864377
8-22,1.0056259160049303
8-23,1.0067461031239562
8-24,1.0077586086721015
8-25,1.0086796392969184
8-26,1.0095234433838245
8-27,1.0103024235995446
8-28,1.0110273342442846
8-29,1.0117075136827964
8-30,1.0123511222732602
8-31,1.0129653703175379
9-1,1.0135567295106505
9-2,1.0141311265103297
9-3,1.0146941197294121
9-4,1.0152510610424823
9-5,1.0158072431754417
9-6,1.0163680311763859
9-7,1.0169389724134237
9-8,1.0175258738984958
9-9,1.018134828731848
9-10,1.0187721665914715
9-11,1.0194442999687938
9-12,1.0201574441406893
9-13,1.020917211177364
9-14,1.0217281185165628
9-15,1.0225931006247801
9-16,1.0235131433555842
9-17,1.0244871475398636
9-18,1.0255120648248688
9-19,1.0265832627266893
9-20,1.0276950123420927
9-21,1.0288409790888606
9-22,1.0300146279312103
9-23,1.0312095025350105
9-24,1.0324193780269941
9-25,1.0336383093424577
9-26,1.0348606034404675
9-27,1.036080740458239
9-28,1.037293262040098
9-29,1.0384926381392794
9-30,1.0396731180689687
10-1,1.0408285678482163
10-2,1.0419522938993664
10-3,1.0430368528641698
10-4,1.044073848906185
10-5,1.0450537238866193
10-6,1.0459655531160919
10-7,1.0467968710564897
10-8,1.047533568084758
10-9,1.0481599203763228
10-10,1.0486588355497575
10-11,1.0490124059914914
10-12,1.0492028414240941
10-13,1.0492137819391156
10-14,1.049031866429527
10-15,1.0486482808811106
10-16,1.048059913393839
10-17,1.0472697833219362
10-18,1.0462866101556565
10-19,1.0451236564550535
10-20,1.0437971773774923
10-21,1.0423248498524698
10-22,1.0407244568600733
10-23,1.0390129517814883
10-24,1.0372059014883672
10-25,1.035317236476359
10-26,1.03335921597104
10-27,1.0313425251886619
10-28,1.029276442497048
10-29,1.027169035155358
10-30,1.0250273590570917
10-31,1.0228576496216455
11-1,1.0206654984205525
11-2,1.0184560144018289
11-3,1.016233970650715
11-4,1.0140039381436425
11-5,1.0117704072430196
11-6,1.0095378958111687
11-7,1.0073110396969307
11-8,1.0050946568860928
11-9,1.0028937710748766
11-10,1.0007135750001908
11-11,0.9985593113082131
11-12,0.9964360536814522
11-13,0.9943483884985416
11-14,0.9923000289668069
11-15,0.9902934314437308
11-16,0.9883295081332368
11-17,0.9864075200397243
11-18,0.9845251840435504
11-19,0.9826789601996873
11-20,0.9808644353401945
11-21,0.9790767087543726
11-22,0.97731071018479
11-23,0.9755614181462553
11-24,0.9738239782325155
11-25,0.9720937386213966
11-26,0.9703662249221412
11-27,0.9686370739577135
11-28,0.9669019406654726
11-29,0.9651563868127879
11-30,0.9633957558601485
12-1,0.9616150353709065
12-2,0.9598087068460341
12-3,0.957970582755743
12-4,0.9560936320525704
12-5,0.9541697990810434
12-6,0.9521898273473228
12-7,0.9501431100359172
12-8,0.9480176040998716
12-9,0.9457998634445399
12-10,0.943475265098144
12-11,0.9410285105512637
12-12,0.9384444663025282
12-13,0.9357093449092346
12-14,0.9328121151961597
12-15,0.9297458960565717
12-16,0.9265090012586852
12-17,0.9231053388851631
12-18,0.9195440459831057
12-19,0.9158384788311735
12-20,0.9120048562208616
12-21,0.9080608894460427
12-22,0.9040246458024637
12-23,0.8999137583583692
12-24,0.8957449823473125
12-25,0.8915340360941357
12-26,0.8872956466078321
12-27,0.8830437287028556
12-28,0.8787916453879085
12-29,0.8745525165017445
12-30,0.8703395580489905
12-31,0.866166445521976
